Make,Model,Type,Origin,DriveTrain,Engine Size (L),Cylinders,Horsepower,MPG (Mileage),Weight (LBS),Wheelbase (IN),Length (IN)
Cadillac,Escalade EXT,Truck,USA,All,6,8,345,17,5879,130,221
Chevrolet,Suburban 1500 LT,SUV,USA,Front,5.3,8,295,18,4947,130,219
Chevrolet,Tahoe LT,SUV,USA,All,5.3,8,295,18,5050,116,197
Chevrolet,TrailBlazer LT,SUV,USA,Front,4.2,6,275,21,4425,113,192
Chevrolet,Tracker,SUV,USA,Front,2.5,6,165,22,2866,98,163
Chevrolet,Aveo 4dr,Sedan,USA,Front,1.6,4,103,34,2370,98,167
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,1.6,4,103,34,2348,98,153
Chevrolet,Cavalier 2dr,Sedan,USA,Front,2.2,4,140,37,2617,104,183
Chevrolet,Cavalier 4dr,Sedan,USA,Front,2.2,4,140,37,2676,104,183
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,2.2,4,140,37,2617,104,183
Chevrolet,Impala 4dr,Sedan,USA,Front,3.4,6,180,32,3465,111,200
Chevrolet,Malibu 4dr,Sedan,USA,Front,2.2,4,145,34,3174,106,188
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,3.5,6,200,30,3297,106,188
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,3.4,6,180,32,3340,111,198
Chevrolet,Impala LS 4dr,Sedan,USA,Front,3.8,6,200,30,3476,111,200
Chevrolet,Impala SS 4dr,Sedan,USA,Front,3.8,6,240,28,3606,111,200
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,3.5,6,200,32,3315,106,188
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,3.8,6,200,28,3434,111,198
Chevrolet,Astro,Sedan,USA,All,4.3,6,190,17,4605,111,190
Chevrolet,Venture LS,Sedan,USA,Front,3.4,6,185,26,3699,112,187
Chevrolet,Corvette 2dr,Sports,USA,Rear,5.7,8,350,25,3246,105,180
Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,5.7,8,350,25,3248,105,180
Chevrolet,Avalanche 1500,Truck,USA,All,5.3,8,295,18,5678,130,222
Chevrolet,Colorado Z85,Truck,USA,All,2.8,4,175,23,3623,111,192
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,4.3,6,200,21,4142,119,206
Chevrolet,Silverado SS,Truck,USA,All,6,8,300,17,4804,144,238
Chevrolet,SSR,Truck,USA,Rear,5.3,8,300,19,4760,116,191
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,3.5,6,200,30,3458,112,188
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,2.4,4,150,29,3101,103,169
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,2.4,4,150,29,3105,103,169
Chrysler,Sebring 4dr,Sedan,USA,Front,2.4,4,150,30,3173,108,191
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,2.7,6,200,28,3222,108,191
Chrysler,300M 4dr,Sedan,USA,Front,3.5,6,250,27,3581,113,198
Chrysler,Concorde LX 4dr,Sedan,USA,Front,2.7,6,200,29,3479,113,208
Chrysler,Concorde LXi 4dr,Sedan,USA,Front,3.5,6,232,27,3548,113,208
Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,2.4,4,220,27,3217,103,169
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,2.4,4,150,30,3357,106,194
Chrysler,300M Special Edition 4dr,Sedan,USA,Front,3.5,6,255,27,3650,113,198
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,2.7,6,200,28,3448,106,194
Chrysler,Town and Country LX,Sedan,USA,Front,3.3,6,180,26,4068,119,201
Chrysler,Town and Country Limited,Sedan,USA,Front,3.8,6,215,25,4331,119,201
Chrysler,Crossfire 2dr,Sports,USA,Rear,3.2,6,215,25,3060,95,160
Chrysler,Pacifica,Wagon,USA,Rear,3.5,6,250,23,4675,116,199
Dodge,Durango SLT,SUV,USA,All,4.7,8,230,21,4987,119,201
Dodge,Neon SE 4dr,Sedan,USA,Front,2,4,132,36,2581,105,174
Dodge,Neon SXT 4dr,Sedan,USA,Front,2,4,132,36,2626,105,174
Dodge,Intrepid SE 4dr,Sedan,USA,Front,2.7,6,200,29,3469,113,204
Dodge,Stratus SXT 4dr,Sedan,USA,Front,2.4,4,150,28,3182,108,191
Dodge,Stratus SE 4dr,Sedan,USA,Front,2.4,4,150,28,3175,108,191
Dodge,Intrepid ES 4dr,Sedan,USA,Front,3.5,6,232,27,3487,113,204
Dodge,Caravan SE,Sedan,USA,Front,2.4,4,150,26,3862,113,189
Dodge,Grand Caravan SXT,Sedan,USA,All,3.8,6,215,25,4440,119,201
Dodge,Viper SRT-10 convertible 2dr,Sports,USA,Rear,8.3,10,500,20,3410,99,176
Dodge,Dakota Regular Cab,Truck,USA,Rear,3.7,6,210,22,3714,112,193
Dodge,Dakota Club Cab,Truck,USA,Rear,3.7,6,210,22,3829,131,219
Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear,3.7,6,215,21,4542,121,208
Ford,Excursion 6.8 XLT,SUV,USA,All,6.8,10,310,13,7190,137,227
Ford,Expedition 4.6 XLT,SUV,USA,Front,4.6,8,232,19,5000,119,206
Ford,Explorer XLT V6,SUV,USA,All,4,6,210,20,4463,114,190
Ford,Escape XLS,SUV,USA,All,3,6,201,23,3346,103,173
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,2,4,130,33,2612,103,168
Ford,Focus LX 4dr,Sedan,USA,Front,2,4,110,36,2606,103,168
Ford,Focus SE 4dr,Sedan,USA,Front,2,4,130,33,2606,103,168
Ford,Focus ZX5 5dr,Sedan,USA,Front,2,4,130,33,2691,103,168
Ford,Focus SVT 2dr,Sedan,USA,Front,2,4,170,28,2750,103,168
Ford,Taurus LX 4dr,Sedan,USA,Front,3,6,155,27,3306,109,198
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,3,6,201,26,3313,109,198
Ford,Crown Victoria 4dr,Sedan,USA,Rear,4.6,8,224,25,4057,115,212
Ford,Crown Victoria LX 4dr,Sedan,USA,Rear,4.6,8,224,25,4057,115,212
Ford,Crown Victoria LX Sport 4dr,Sedan,USA,Rear,4.6,8,239,25,4057,115,212
Ford,Freestar SE,Sedan,USA,Front,3.9,6,193,23,4275,121,201
Ford,Mustang 2dr (convertible),Sports,USA,Rear,3.8,6,193,29,3290,101,183
Ford,Mustang GT Premium convertible 2dr,Sports,USA,Rear,4.6,8,260,25,3347,101,183
Ford,Thunderbird Deluxe convert w/hardtop 2d,Sports,USA,Front,3.9,8,280,24,3780,107,186
Ford,F-150 Regular Cab XL,Truck,USA,Rear,4.6,8,231,19,4788,126,211
Ford,F-150 Supercab Lariat,Truck,USA,All,5.4,8,300,18,5464,133,218
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear,2.3,4,143,29,3028,111,188
Ford,Focus ZTW,Wagon,USA,Front,2,4,130,33,2702,103,178
Ford,Taurus SE,Wagon,USA,Front,3,6,155,26,3497,109,198
GMC,Envoy XUV SLE,SUV,USA,Front,4.2,6,275,19,4945,129,208
GMC,Yukon 1500 SLE,SUV,USA,Front,4.8,8,285,19,5042,116,199
GMC,Yukon XL 2500 SLT,SUV,USA,All,6,8,325,17,6133,130,219
GMC,Safari SLE,Sedan,USA,Rear,4.3,6,190,20,4309,111,190
GMC,Canyon Z85 SL Regular Cab,Truck,USA,Rear,2.8,4,175,25,3351,111,192
GMC,Sierra Extended Cab 1500,Truck,USA,Rear,4.8,8,285,20,4548,144,230
GMC,Sierra HD 2500,Truck,USA,All,6,8,300,18,5440,133,222
GMC,Sonoma Crew Cab,Truck,USA,All,4.3,6,190,19,4083,123,208
Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,Asia,Front,1.4,4,93,51,2732,103,175
Honda,Insight 2dr (gas/electric),Hybrid,Asia,Front,2,3,73,66,1850,95,155
Honda,Pilot LX,SUV,Asia,All,3.5,6,240,22,4387,106,188
Honda,CR-V LX,SUV,Asia,All,2.4,4,160,25,3258,103,179
Honda,Element LX,SUV,Asia,All,2.4,4,160,24,3468,101,167
Honda,Civic DX 2dr,Sedan,Asia,Front,1.7,4,115,38,2432,103,175
Honda,Civic HX 2dr,Sedan,Asia,Front,1.7,4,117,44,2500,103,175
Honda,Civic LX 4dr,Sedan,Asia,Front,1.7,4,115,38,2513,103,175
Honda,Accord LX 2dr,Sedan,Asia,Front,2.4,4,160,34,2994,105,188
Honda,Accord EX 2dr,Sedan,Asia,Front,2.4,4,160,34,3047,105,188
Honda,Civic EX 4dr,Sedan,Asia,Front,1.7,4,127,37,2601,103,175
Honda,Civic Si 2dr hatch,Sedan,Asia,Front,2,4,160,30,2782,101,166
Honda,Accord LX V6 4dr,Sedan,Asia,Front,3,6,240,30,3349,108,190
Honda,Accord EX V6 2dr,Sedan,Asia,Front,3,6,240,30,3294,105,188
Honda,Odyssey LX,Sedan,Asia,Front,3.5,6,240,25,4310,118,201
Honda,Odyssey EX,Sedan,Asia,Front,3.5,6,240,25,4365,118,201
Honda,S2000 convertible 2dr,Sports,Asia,Rear,2.2,4,240,25,2835,95,162
Hummer,H2,SUV,USA,All,6,8,316,12,6400,123,190
Hyundai,Santa Fe GLS,SUV,Asia,Front,2.7,6,173,26,3549,103,177
Hyundai,Accent 2dr hatch,Sedan,Asia,Front,1.6,4,103,33,2255,96,167
Hyundai,Accent GL 4dr,Sedan,Asia,Front,1.6,4,103,33,2290,96,167
Hyundai,Accent GT 2dr hatch,Sedan,Asia,Front,1.6,4,103,33,2339,96,167
Hyundai,Elantra GLS 4dr,Sedan,Asia,Front,2,4,138,34,2635,103,178
Hyundai,Elantra GT 4dr,Sedan,Asia,Front,2,4,138,34,2635,103,178
Hyundai,Elantra GT 4dr hatch,Sedan,Asia,Front,2,4,138,34,2698,103,178
Hyundai,Sonata GLS 4dr,Sedan,Asia,Front,2.7,6,170,27,3217,106,187
Hyundai,Sonata LX 4dr,Sedan,Asia,Front,2.7,6,170,27,3217,106,187
Hyundai,XG350 4dr,Sedan,Asia,Front,3.5,6,194,26,3651,108,192
Hyundai,XG350 L 4dr,Sedan,Asia,Front,3.5,6,194,26,3651,108,192
Hyundai,Tiburon GT V6 2dr,Sports,Asia,Front,2.7,6,172,26,3023,100,173
Infiniti,G35 4dr,Sedan,Asia,Rear,3.5,6,260,26,3336,112,187
Infiniti,G35 Sport Coupe 2dr,Sedan,Asia,Rear,3.5,6,280,26,3416,112,182
Infiniti,G35 4dr,Sedan,Asia,All,3.5,6,260,26,3677,112,187
Infiniti,I35 4dr,Sedan,Asia,Front,3.5,6,255,26,3306,108,194
Infiniti,M45 4dr,Sedan,Asia,Rear,4.5,8,340,23,3851,110,197
Infiniti,Q45 Luxury 4dr,Sedan,Asia,Rear,4.5,8,340,23,3977,113,200
Infiniti,FX35,Wagon,Asia,Rear,3.5,6,280,22,4056,112,189
Infiniti,FX45,Wagon,Asia,All,4.5,8,315,19,4309,112,189
Isuzu,Ascender S,SUV,Asia,All,4.2,6,275,20,4967,129,208
Isuzu,Rodeo S,SUV,Asia,Front,3.2,6,193,21,3836,106,178
Jaguar,X-Type 2.5 4dr,Sedan,Europe,All,2.5,6,192,26,3428,107,184
Jaguar,X-Type 3.0 4dr,Sedan,Europe,All,3,6,227,25,3516,107,184
Jaguar,S-Type 3.0 4dr,Sedan,Europe,Rear,3,6,235,26,3777,115,192
Jaguar,S-Type 4.2 4dr,Sedan,Europe,Rear,4.2,8,294,28,3874,115,192
Jaguar,S-Type R 4dr,Sedan,Europe,Rear,4.2,8,390,24,4046,115,192
Jaguar,Vanden Plas 4dr,Sedan,Europe,Rear,4.2,8,294,28,3803,119,200
Jaguar,XJ8 4dr,Sedan,Europe,Rear,4.2,8,294,28,3803,119,200
Jaguar,XJR 4dr,Sedan,Europe,Rear,4.2,8,390,24,3948,119,200
Jaguar,XK8 coupe 2dr,Sports,Europe,Rear,4.2,8,294,26,3779,102,187
Jaguar,XK8 convertible 2dr,Sports,Europe,Rear,4.2,8,294,26,3980,102,187
Jaguar,XKR coupe 2dr,Sports,Europe,Rear,4.2,8,390,23,3865,102,187
Jaguar,XKR convertible 2dr,Sports,Europe,Rear,4.2,8,390,23,4042,102,187
Jeep,Grand Cherokee Laredo,SUV,USA,Front,4,6,195,21,3790,106,181
Jeep,Liberty Sport,SUV,USA,All,2.4,4,150,24,3826,104,174
Jeep,Wrangler Sahara convertible 2dr,SUV,USA,All,4,6,190,19,3575,93,150
Kia,Sorento LX,SUV,Asia,Front,3.5,6,192,19,4112,107,180
Kia,Optima LX 4dr,Sedan,Asia,Front,2.4,4,138,30,3281,106,186
Kia,Rio 4dr manual,Sedan,Asia,Front,1.6,4,104,33,2403,95,167
Kia,Rio 4dr auto,Sedan,Asia,Front,1.6,4,104,32,2458,95,167
Kia,Spectra 4dr,Sedan,Asia,Front,1.8,4,124,32,2661,101,178
Kia,Spectra GS 4dr hatch,Sedan,Asia,Front,1.8,4,124,32,2686,101,178
Kia,Spectra GSX 4dr hatch,Sedan,Asia,Front,1.8,4,124,32,2697,101,178
Kia,Optima LX V6 4dr,Sedan,Asia,Front,2.7,6,170,27,3279,106,186
Kia,Amanti 4dr,Sedan,Asia,Front,3.5,6,195,25,4021,110,196
Kia,Sedona LX,Sedan,Asia,Front,3.5,6,195,22,4802,115,194
Kia,Rio Cinco,Wagon,Asia,Front,1.6,4,104,33,2447,95,167
Land Rover,Range Rover HSE,SUV,Europe,All,4.4,8,282,16,5379,113,195
Land Rover,Discovery SE,SUV,Europe,All,4.6,8,217,16,4576,100,185
Land Rover,Freelander SE,SUV,Europe,All,2.5,6,174,21,3577,101,175
Lexus,GX 470,SUV,Asia,All,4.7,8,235,19,4740,110,188
Lexus,LX 470,SUV,Asia,All,4.7,8,235,17,5590,112,193
Lexus,RX 330,SUV,Asia,All,3.3,6,230,24,4065,107,186
Lexus,ES 330 4dr,Sedan,Asia,Front,3.3,6,225,29,3460,107,191
Lexus,IS 300 4dr manual,Sedan,Asia,Rear,3,6,215,25,3255,105,177
Lexus,IS 300 4dr auto,Sedan,Asia,Rear,3,6,215,24,3285,105,177
Lexus,GS 300 4dr,Sedan,Asia,Rear,3,6,220,25,3649,110,189
Lexus,GS 430 4dr,Sedan,Asia,Rear,4.3,8,300,23,3715,110,189
Lexus,LS 430 4dr,Sedan,Asia,Rear,4.3,8,290,25,3990,115,197
Lexus,SC 430 convertible 2dr,Sports,Asia,Rear,4.3,8,300,23,3840,103,178
Lexus,IS 300 SportCross,Wagon,Asia,Rear,3,6,215,24,3410,105,177
Lincoln,Navigator Luxury,SUV,USA,All,5.4,8,300,18,5969,119,206
Lincoln,Aviator Ultimate,SUV,USA,Front,4.6,8,302,18,4834,114,193
Lincoln,LS V6 Luxury 4dr,Sedan,USA,Rear,3,6,232,26,3681,115,194
Lincoln,LS V6 Premium 4dr,Sedan,USA,Rear,3,6,232,26,3681,115,194
Lincoln,LS V8 Sport 4dr,Sedan,USA,Rear,3.9,8,280,24,3768,115,194
Lincoln,LS V8 Ultimate 4dr,Sedan,USA,Rear,3.9,8,280,24,3768,115,194
Lincoln,Town Car Signature 4dr,Sedan,USA,Rear,4.6,8,239,25,4369,118,215
Lincoln,Town Car Ultimate 4dr,Sedan,USA,Rear,4.6,8,239,25,4369,118,215
Lincoln,Town Car Ultimate L 4dr,Sedan,USA,Rear,4.6,8,239,25,4474,124,221
MINI,Cooper,Sedan,Europe,Front,1.6,4,115,37,2524,97,143
MINI,Cooper S,Sedan,Europe,Front,1.6,4,163,34,2678,97,144
Mazda,Tribute DX 2.0,SUV,Asia,All,2,4,130,25,3091,103,173
Mazda,Mazda3 i 4dr,Sedan,Asia,Front,2,4,148,34,2696,104,178
Mazda,Mazda3 s 4dr,Sedan,Asia,Front,2.3,4,160,31,2762,104,179
Mazda,Mazda6 i 4dr,Sedan,Asia,Front,2.3,4,160,32,3042,105,187
Mazda,MPV ES,Sedan,Asia,Front,3,6,200,25,3812,112,188
Mazda,MX-5 Miata convertible 2dr,Sports,Asia,Rear,1.8,4,142,28,2387,89,156
Mazda,MX-5 Miata LS convertible 2dr,Sports,Asia,Rear,1.8,4,142,28,2387,89,156
Mazda,B2300 SX Regular Cab,Truck,Asia,Rear,2.3,4,143,29,2960,112,188
Mazda,B4000 SE Cab Plus,Truck,Asia,All,4,6,207,19,3571,126,203
Mercedes-Benz,G500,SUV,Europe,All,5,8,292,14,5423,112,186
Mercedes-Benz,ML500,SUV,Europe,All,5,8,288,17,4874,111,183
Mercedes-Benz,C230 Sport 2dr,Sedan,Europe,Rear,1.8,4,189,30,3250,107,178
Mercedes-Benz,C320 Sport 2dr,Sedan,Europe,Rear,3.2,6,215,26,3430,107,178
Mercedes-Benz,C240 4dr,Sedan,Europe,Rear,2.6,6,168,25,3360,107,178
Mercedes-Benz,C240 4dr,Sedan,Europe,All,2.6,6,168,25,3360,107,178
Mercedes-Benz,C320 Sport 4dr,Sedan,Europe,Rear,3.2,6,215,26,3430,107,178
Mercedes-Benz,C320 4dr,Sedan,Europe,Rear,3.2,6,215,26,3450,107,178
Mercedes-Benz,C320 4dr,Sedan,Europe,All,3.2,6,215,27,3450,107,178
Mercedes-Benz,C32 AMG 4dr,Sedan,Europe,Rear,3.2,6,349,21,3540,107,178
Mercedes-Benz,CL500 2dr,Sedan,Europe,Rear,5,8,302,24,4085,114,196
Mercedes-Benz,CL600 2dr,Sedan,Europe,Rear,5.5,12,493,19,4473,114,196
Mercedes-Benz,CLK320 coupe 2dr (convertible),Sedan,Europe,Rear,3.2,6,215,26,3770,107,183
Mercedes-Benz,CLK500 coupe 2dr (convertible),Sedan,Europe,Rear,5,8,302,22,3585,107,183
Mercedes-Benz,E320 4dr,Sedan,Europe,Rear,3.2,6,221,27,3635,112,190
Mercedes-Benz,E500 4dr,Sedan,Europe,Rear,5,8,302,20,3815,112,190
Mercedes-Benz,S430 4dr,Sedan,Europe,Rear,4.3,8,275,26,4160,122,203
Mercedes-Benz,S500 4dr,Sedan,Europe,All,5,8,302,24,4390,122,203
Mercedes-Benz,SL500 convertible 2dr,Sports,Europe,Rear,5,8,302,23,4065,101,179
Mercedes-Benz,SL55 AMG 2dr,Sports,Europe,Rear,5.5,8,493,21,4235,101,179
Mercedes-Benz,SL600 convertible 2dr,Sports,Europe,Rear,5.5,12,493,19,4429,101,179
Mercedes-Benz,SLK230 convertible 2dr,Sports,Europe,Rear,2.3,4,192,29,3055,95,158
Mercedes-Benz,SLK32 AMG 2dr,Sports,Europe,Rear,3.2,6,349,22,3220,95,158
Mercedes-Benz,C240,Wagon,Europe,Rear,2.6,6,168,25,3470,107,179
Mercedes-Benz,E320,Wagon,Europe,Rear,3.2,6,221,27,3966,112,190
Mercedes-Benz,E500,Wagon,Europe,All,5,8,302,24,4230,112,190
Mercury,Mountaineer,SUV,USA,Front,4,6,210,21,4374,114,190
Mercury,Sable GS 4dr,Sedan,USA,Front,3,6,155,27,3308,109,200
Mercury,Grand Marquis GS 4dr,Sedan,USA,Rear,4.6,8,224,25,4052,115,212
Mercury,Grand Marquis LS Premium 4dr,Sedan,USA,Rear,4.6,8,224,25,4052,115,212
Mercury,Sable LS Premium 4dr,Sedan,USA,Front,3,6,201,26,3315,109,200
Mercury,Grand Marquis LS Ultimate 4dr,Sedan,USA,Rear,4.6,8,224,25,4052,115,212
Mercury,Marauder 4dr,Sedan,USA,Rear,4.6,8,302,23,4195,115,212
Mercury,Monterey Luxury,Sedan,USA,Front,4.2,6,201,23,4340,121,202
Mercury,Sable GS,Wagon,USA,Front,3,6,155,26,3488,109,198
Mitsubishi,Endeavor XLS,SUV,Asia,All,3.8,6,215,21,4134,109,190
Mitsubishi,Montero XLS,SUV,Asia,All,3.8,6,215,19,4718,110,190
Mitsubishi,Outlander LS,SUV,Asia,Front,2.4,4,160,27,3240,103,179
Mitsubishi,Lancer ES 4dr,Sedan,Asia,Front,2,4,120,31,2656,102,181
Mitsubishi,Lancer LS 4dr,Sedan,Asia,Front,2,4,120,31,2795,102,181
Mitsubishi,Galant ES 2.4L 4dr,Sedan,Asia,Front,2.4,4,160,30,3351,108,191
Mitsubishi,Lancer OZ Rally 4dr auto,Sedan,Asia,Front,2,4,120,31,2744,102,181
Mitsubishi,Diamante LS 4dr,Sedan,Asia,Front,3.5,6,205,25,3549,107,194
Mitsubishi,Galant GTS 4dr,Sedan,Asia,Front,3.8,6,230,26,3649,108,191
Mitsubishi,Eclipse GTS 2dr,Sports,Asia,Front,3,6,210,28,3241,101,177
Mitsubishi,Eclipse Spyder GT convertible 2dr,Sports,Asia,Front,3,6,210,28,3296,101,177
Mitsubishi,Lancer Evolution 4dr,Sports,Asia,Front,2,4,271,26,3263,103,179
Mitsubishi,Lancer Sportback LS,Wagon,Asia,Front,2.4,4,160,31,3020,102,181
Nissan,Pathfinder Armada SE,SUV,Asia,Front,5.6,8,305,19,5013,123,207
Nissan,Pathfinder SE,SUV,Asia,Front,3.5,6,240,21,3871,106,183
Nissan,Xterra XE V6,SUV,Asia,Front,3.3,6,180,20,3760,104,178
Nissan,Sentra 1.8 4dr,Sedan,Asia,Front,1.8,4,126,35,2513,100,178
Nissan,Sentra 1.8 S 4dr,Sedan,Asia,Front,1.8,4,126,35,2581,100,178
Nissan,Altima S 4dr,Sedan,Asia,Front,2.5,4,175,26,3039,110,192
Nissan,Sentra SE-R 4dr,Sedan,Asia,Front,2.5,4,165,28,2761,100,178
Nissan,Altima SE 4dr,Sedan,Asia,Front,3.5,6,245,26,3197,110,192
Nissan,Maxima SE 4dr,Sedan,Asia,Front,3.5,6,265,28,3473,111,194
Nissan,Maxima SL 4dr,Sedan,Asia,Front,3.5,6,265,28,3476,111,194
Nissan,Quest S,Sedan,Asia,Front,3.5,6,240,26,4012,124,204
Nissan,Quest SE,Sedan,Asia,Front,3.5,6,240,25,4175,124,204
Nissan,350Z coupe 2dr,Sports,Asia,Rear,3.5,6,287,26,3188,104,169
Nissan,350Z Enthusiast convertible 2dr,Sports,Asia,Rear,3.5,6,287,26,3428,104,169
Nissan,Frontier King Cab XE V6,Truck,Asia,All,3.3,6,180,20,3932,116,191
Nissan,Titan King Cab XE,Truck,Asia,All,5.6,8,305,18,5287,140,224
